"alias","index","complete_gene_name","gene_symbol"
"JOSD1",7743,"Josephin domain containing 1","JOSD1"
"BA554C12.1",7785,"ring-box 1","RBX1"
"RNF75",7785,"ring-box 1","RBX1"
"ROC1",7785,"ring-box 1","RBX1"
"RBX1",7785,"ring-box 1","RBX1"
"DGS-C",7797,"DiGeorge syndrome critical region gene 2","DGCR2"
"IDD",7797,"DiGeorge syndrome critical region gene 2","DGCR2"
"LAN",7797,"DiGeorge syndrome critical region gene 2","DGCR2"
"SEZ-12",7797,"DiGeorge syndrome critical region gene 2","DGCR2"
"DGCR2",7797,"DiGeorge syndrome critical region gene 2","DGCR2"
"CEMCOX1",7800,"synthesis of cytochrome C oxidase 2","SCO2"
"ECGF1",7800,"synthesis of cytochrome C oxidase 2","SCO2"
"Gliostatin",7800,"synthesis of cytochrome C oxidase 2","SCO2"
"MC4DN2",7800,"synthesis of cytochrome C oxidase 2","SCO2"
"MYP6",7800,"synthesis of cytochrome C oxidase 2","SCO2"
"PD-ECGF",7800,"synthesis of cytochrome C oxidase 2","SCO2"
"SCO1L",7800,"synthesis of cytochrome C oxidase 2","SCO2"
"TP",7800,"synthesis of cytochrome C oxidase 2","SCO2"
"TYMP",7800,"synthesis of cytochrome C oxidase 2","SCO2"
"TdRPase",7800,"synthesis of cytochrome C oxidase 2","SCO2"
"SCO2",7800,"synthesis of cytochrome C oxidase 2","SCO2"
"SRCASM",7834,"target of myb1 like 1 membrane trafficking protein","TOM1L1"
"TOM1L1",7834,"target of myb1 like 1 membrane trafficking protein","TOM1L1"
"HMG2L1",7835,"HMG-box containing 4","HMGXB4"
"HMGBCG",7835,"HMG-box containing 4","HMGXB4"
"P53N",7835,"HMG-box containing 4","HMGXB4"
"THC211630",7835,"HMG-box containing 4","HMGXB4"
"HMGXB4",7835,"HMG-box containing 4","HMGXB4"
"IMD85",7836,"target of myb1 membrane trafficking protein","TOM1"
"TOM1",7836,"target of myb1 membrane trafficking protein","TOM1"
"MRMV3",7909,"dynein axonemal light chain 4","DNAL4"
"PIG27",7909,"dynein axonemal light chain 4","DNAL4"
"DNAL4",7909,"dynein axonemal light chain 4","DNAL4"
"MBLL",7931,"muscleblind like splicing regulator 2","MBNL2"
"MBLL39",7931,"muscleblind like splicing regulator 2","MBNL2"
"PRO2032",7931,"muscleblind like splicing regulator 2","MBNL2"
"MBNL2",7931,"muscleblind like splicing regulator 2","MBNL2"
"ARALAR2",7946,"solute carrier family 25 member 13","SLC25A13"
"CITRIN",7946,"solute carrier family 25 member 13","SLC25A13"
"CTLN2",7946,"solute carrier family 25 member 13","SLC25A13"
"NICCD",7946,"solute carrier family 25 member 13","SLC25A13"
"SLC25A13",7946,"solute carrier family 25 member 13","SLC25A13"
"D13S327",7947,"solute carrier family 25 member 15","SLC25A15"
"HHH",7947,"solute carrier family 25 member 15","SLC25A15"
"LNC-HC",7947,"solute carrier family 25 member 15","SLC25A15"
"ORC1",7947,"solute carrier family 25 member 15","SLC25A15"
"ORNT1",7947,"solute carrier family 25 member 15","SLC25A15"
"SLC25A15",7947,"solute carrier family 25 member 15","SLC25A15"
"PRP21",8058,"splicing factor 3a subunit 1","SF3A1"
"PRPF21",8058,"splicing factor 3a subunit 1","SF3A1"
"SAP114",8058,"splicing factor 3a subunit 1","SF3A1"
"SF3A120",8058,"splicing factor 3a subunit 1","SF3A1"
"SF3A1",8058,"splicing factor 3a subunit 1","SF3A1"
"PKDREJ",8102,"polycystin family receptor for egg jelly","PKDREJ"
"MRD10",8122,"calcium voltage-gated channel auxiliary subunit gamma 2","CACNG2"
"CACNG2",8122,"calcium voltage-gated channel auxiliary subunit gamma 2","CACNG2"
"3'-Tab1",8190,"TGF-beta activated kinase 1 (MAP3K7) binding protein 1","TAB1"
"MAP3K7IP1",8190,"TGF-beta activated kinase 1 (MAP3K7) binding protein 1","TAB1"
"TAB1",8190,"TGF-beta activated kinase 1 (MAP3K7) binding protein 1","TAB1"
"PMP34",8213,"solute carrier family 25 member 17","SLC25A17"
"SLC25A17",8213,"solute carrier family 25 member 17","SLC25A17"
"P72",8247,"DEAD-box helicase 17","DDX17"
"RH70",8247,"DEAD-box helicase 17","DDX17"
"DDX17",8247,"DEAD-box helicase 17","DDX17"
"GCCD5",8305,"thioredoxin reductase 2","TXNRD2"
"SELZ",8305,"thioredoxin reductase 2","TXNRD2"
"TR",8305,"thioredoxin reductase 2","TXNRD2"
"TR-BETA",8305,"thioredoxin reductase 2","TXNRD2"
"TR3",8305,"thioredoxin reductase 2","TXNRD2"
"TRXR2",8305,"thioredoxin reductase 2","TXNRD2"
"TXNRD2",8305,"thioredoxin reductase 2","TXNRD2"
"RRP22",8345,"RAS like family 10 member A","RASL10A"
"RASL10A",8345,"RAS like family 10 member A","RASL10A"
"GAR22",8346,"growth arrest specific 2 like 1","GAS2L1"
"GAS2L1",8346,"growth arrest specific 2 like 1","GAS2L1"
"NCRNA00005",8419,"RFPL3 antisense","RFPL3S"
"RFPL3-AS",8419,"RFPL3 antisense","RFPL3S"
"RFPL3-AS1",8419,"RFPL3 antisense","RFPL3S"
"RFPL3ANT",8419,"RFPL3 antisense","RFPL3S"
"RFPL3AS",8419,"RFPL3 antisense","RFPL3S"
"RFPL3S",8419,"RFPL3 antisense","RFPL3S"
"RNF120",8420,"ret finger protein like 3","RFPL3"
"RFPL3",8420,"ret finger protein like 3","RFPL3"
"RNF79",8421,"ret finger protein like 2","RFPL2"
"RFPL2",8421,"ret finger protein like 2","RFPL2"
"NCRNA00006",8422,"RFPL1 antisense RNA 1","RFPL1S"
"RFPL1-AS",8422,"RFPL1 antisense RNA 1","RFPL1S"
"RFPL1-AS1",8422,"RFPL1 antisense RNA 1","RFPL1S"
"RFPL1AS",8422,"RFPL1 antisense RNA 1","RFPL1S"
"RFPL1S",8422,"RFPL1 antisense RNA 1","RFPL1S"
"NPAP60",8439,"nucleoporin 50","NUP50"
"NPAP60L",8439,"nucleoporin 50","NUP50"
"NUP50",8439,"nucleoporin 50","NUP50"
"APRO5",8442,"transducer of ERBB2, 2","TOB2"
"TOB4",8442,"transducer of ERBB2, 2","TOB2"
"TOBL",8442,"transducer of ERBB2, 2","TOB2"
"TROB2",8442,"transducer of ERBB2, 2","TOB2"
"TOB2",8442,"transducer of ERBB2, 2","TOB2"
"ERD2L3",8654,"KDEL endoplasmic reticulum protein retention receptor 3","KDELR3"
"KDELR3",8654,"KDEL endoplasmic reticulum protein retention receptor 3","KDELR3"
"BBS19",8659,"intraflagellar transport 27","IFT27"
"FAP156",8659,"intraflagellar transport 27","IFT27"
"RABL4",8659,"intraflagellar transport 27","IFT27"
"RAYL",8659,"intraflagellar transport 27","IFT27"
"IFT27",8659,"intraflagellar transport 27","IFT27"
"DFNB28",8709,"TRIO and F-actin binding protein","TRIOBP"
"HRIHFB2122",8709,"TRIO and F-actin binding protein","TRIOBP"
"TAP68",8709,"TRIO and F-actin binding protein","TRIOBP"
"TARA",8709,"TRIO and F-actin binding protein","TRIOBP"
"dJ37E16.4",8709,"TRIO and F-actin binding protein","TRIOBP"
"TRIOBP",8709,"TRIO and F-actin binding protein","TRIOBP"
"BORG5",8752,"CDC42 effector protein 1","CDC42EP1"
"CEP1",8752,"CDC42 effector protein 1","CDC42EP1"
"MSE55",8752,"CDC42 effector protein 1","CDC42EP1"
"CDC42EP1",8752,"CDC42 effector protein 1","CDC42EP1"
"DMC1H",8760,"DNA meiotic recombinase 1","DMC1"
"LIM15",8760,"DNA meiotic recombinase 1","DMC1"
"dJ199H16.1",8760,"DNA meiotic recombinase 1","DMC1"
"DMC1",8760,"DNA meiotic recombinase 1","DMC1"
"RABL2B",8773,"RAB, member of RAS oncogene family like 2B","RABL2B"
"CDS1",8813,"checkpoint kinase 2","CHEK2"
"CHK2",8813,"checkpoint kinase 2","CHEK2"
"HuCds1",8813,"checkpoint kinase 2","CHEK2"
"LFS2",8813,"checkpoint kinase 2","CHEK2"
"PP1425",8813,"checkpoint kinase 2","CHEK2"
"RAD53",8813,"checkpoint kinase 2","CHEK2"
"hCds1",8813,"checkpoint kinase 2","CHEK2"
"CHEK2",8813,"checkpoint kinase 2","CHEK2"
"DBA19",8828,"ribosomal protein L35","RPL35"
"L35",8828,"ribosomal protein L35","RPL35"
"RPL35",8828,"ribosomal protein L35","RPL35"
"SDPII",8849,"protein kinase C and casein kinase substrate in neurons 2","PACSIN2"
"PACSIN2",8849,"protein kinase C and casein kinase substrate in neurons 2","PACSIN2"
"ISG43",8866,"ubiquitin specific peptidase 18","USP18"
"PTORCH2",8866,"ubiquitin specific peptidase 18","USP18"
"UBP43",8866,"ubiquitin specific peptidase 18","USP18"
"USP18",8866,"ubiquitin specific peptidase 18","USP18"
"U2AF65",8902,"U2 small nuclear RNA auxiliary factor 2","U2AF2"
"U2AF2",8902,"U2 small nuclear RNA auxiliary factor 2","U2AF2"
"HCFP2",8924,"Moebius syndrome 3","MBS3"
"MBS3",8924,"Moebius syndrome 3","MBS3"
"CMT2Z",8980,"MORC family CW-type zinc finger 2","MORC2"
"DIGFAN",8980,"MORC family CW-type zinc finger 2","MORC2"
"ZCW3",8980,"MORC family CW-type zinc finger 2","MORC2"
"ZCWCC1",8980,"MORC family CW-type zinc finger 2","MORC2"
"MORC2",8980,"MORC family CW-type zinc finger 2","MORC2"
"GDSBA",9155,"trinucleotide repeat containing adaptor 6B","TNRC6B"
"TNRC6B",9155,"trinucleotide repeat containing adaptor 6B","TNRC6B"
"HRG22",9161,"HIC ZBTB transcriptional repressor 2","HIC2"
"ZBTB30",9161,"HIC ZBTB transcriptional repressor 2","HIC2"
"ZNF907",9161,"HIC ZBTB transcriptional repressor 2","HIC2"
"HIC2",9161,"HIC ZBTB transcriptional repressor 2","HIC2"
"DIP",9186,"GRAM domain containing 4","GRAMD4"
"GRAMD4",9186,"GRAM domain containing 4","GRAMD4"
"dJ526I14.2",9202,"tubulin tyrosine ligase like 12","TTLL12"
"TTLL12",9202,"tubulin tyrosine ligase like 12","TTLL12"
"LVM",9236,"modulator of VRAC current 1","MLC1"
"MLC",9236,"modulator of VRAC current 1","MLC1"
"VL",9236,"modulator of VRAC current 1","MLC1"
"MLC1",9236,"modulator of VRAC current 1","MLC1"
"ROXAN1",9284,"zinc finger CCCH-type containing 7B","ZC3H7B"
"RoXaN",9284,"zinc finger CCCH-type containing 7B","ZC3H7B"
"ZC3H7B",9284,"zinc finger CCCH-type containing 7B","ZC3H7B"
"C22orf9",9320,"KIAA0930","KIAA0930"
"LSC3",9320,"KIAA0930","KIAA0930"
"KIAA0930",9320,"KIAA0930","KIAA0930"
"TPRBK",9334,"tetratricopeptide repeat domain 28","TTC28"
"TTC28",9334,"tetratricopeptide repeat domain 28","TTC28"
"SR140",9348,"U2 snRNP associated SURP domain containing","U2SURP"
"fSAPa",9348,"U2 snRNP associated SURP domain containing","U2SURP"
"U2SURP",9348,"U2 snRNP associated SURP domain containing","U2SURP"
"KIAA0892",9375,"MAU2 sister chromatid cohesion factor","MAU2"
"MAU2L",9375,"MAU2 sister chromatid cohesion factor","MAU2"
"SCC4",9375,"MAU2 sister chromatid cohesion factor","MAU2"
"mau-2",9375,"MAU2 sister chromatid cohesion factor","MAU2"
"MAU2",9375,"MAU2 sister chromatid cohesion factor","MAU2"
"CYTSA",9376,"sperm antigen with calponin homology and coiled-coil domains 1 like","SPECC1L"
"GBBB2",9376,"sperm antigen with calponin homology and coiled-coil domains 1 like","SPECC1L"
"OBLFC1",9376,"sperm antigen with calponin homology and coiled-coil domains 1 like","SPECC1L"
"TBHS",9376,"sperm antigen with calponin homology and coiled-coil domains 1 like","SPECC1L"
"SPECC1L",9376,"sperm antigen with calponin homology and coiled-coil domains 1 like","SPECC1L"
"KBL",9436,"glycine C-acetyltransferase","GCAT"
"GCAT",9436,"glycine C-acetyltransferase","GCAT"
"CBX6",9437,"chromobox 6","CBX6"
"NPR",9438,"neuronal pentraxin receptor","NPTXR"
"NPTXR",9438,"neuronal pentraxin receptor","NPTXR"
"NOP7",9449,"pescadillo ribosomal biogenesis factor 1","PES1"
"PES",9449,"pescadillo ribosomal biogenesis factor 1","PES1"
"PES1",9449,"pescadillo ribosomal biogenesis factor 1","PES1"
"CBX7",9453,"chromobox 7","CBX7"
"CAIN",9479,"calcineurin binding protein 1","CABIN1"
"KB-318B8.7",9479,"calcineurin binding protein 1","CABIN1"
"PPP3IN",9479,"calcineurin binding protein 1","CABIN1"
"CABIN1",9479,"calcineurin binding protein 1","CABIN1"
"CT130",9487,"PRAME nuclear receptor transcriptional regulator","PRAME"
"MAPE",9487,"PRAME nuclear receptor transcriptional regulator","PRAME"
"OIP-4",9487,"PRAME nuclear receptor transcriptional regulator","PRAME"
"OIP4",9487,"PRAME nuclear receptor transcriptional regulator","PRAME"
"PRAME",9487,"PRAME nuclear receptor transcriptional regulator","PRAME"
"MCT3",9492,"solute carrier family 16 member 8","SLC16A8"
"REMP",9492,"solute carrier family 16 member 8","SLC16A8"
"SLC16A8",9492,"solute carrier family 16 member 8","SLC16A8"
"C22orf6",9494,"SEC14 like lipid binding 2","SEC14L2"
"SPF",9494,"SEC14 like lipid binding 2","SEC14L2"
"TAP",9494,"SEC14 like lipid binding 2","SEC14L2"
"TAP1",9494,"SEC14 like lipid binding 2","SEC14L2"
"SEC14L2",9494,"SEC14 like lipid binding 2","SEC14L2"
"IB-2",9495,"mitogen-activated protein kinase 8 interacting protein 2","MAPK8IP2"
"IB2",9495,"mitogen-activated protein kinase 8 interacting protein 2","MAPK8IP2"
"JIP2",9495,"mitogen-activated protein kinase 8 interacting protein 2","MAPK8IP2"
"PRKM8IPL",9495,"mitogen-activated protein kinase 8 interacting protein 2","MAPK8IP2"
"MAPK8IP2",9495,"mitogen-activated protein kinase 8 interacting protein 2","MAPK8IP2"
"FOX2",9496,"RNA binding fox-1 homolog 2","RBFOX2"
"Fox-2",9496,"RNA binding fox-1 homolog 2","RBFOX2"
"HNRBP2",9496,"RNA binding fox-1 homolog 2","RBFOX2"
"HRNBP2",9496,"RNA binding fox-1 homolog 2","RBFOX2"
"RBM9",9496,"RNA binding fox-1 homolog 2","RBFOX2"
"RTA",9496,"RNA binding fox-1 homolog 2","RBFOX2"
"dJ106I20.3",9496,"RNA binding fox-1 homolog 2","RBFOX2"
"fxh",9496,"RNA binding fox-1 homolog 2","RBFOX2"
"RBFOX2",9496,"RNA binding fox-1 homolog 2","RBFOX2"
"SEZ6L",9497,"seizure related 6 homolog like","SEZ6L"
"Rhes",9504,"RASD family member 2","RASD2"
"TEM2",9504,"RASD family member 2","RASD2"
"RASD2",9504,"RASD family member 2","RASD2"
"MAZR",9541,"POZ/BTB and AT hook containing zinc finger 1","PATZ1"
"PATZ",9541,"POZ/BTB and AT hook containing zinc finger 1","PATZ1"
"RIAZ",9541,"POZ/BTB and AT hook containing zinc finger 1","PATZ1"
"ZBTB19",9541,"POZ/BTB and AT hook containing zinc finger 1","PATZ1"
"ZNF278",9541,"POZ/BTB and AT hook containing zinc finger 1","PATZ1"
"ZSG",9541,"POZ/BTB and AT hook containing zinc finger 1","PATZ1"
"dJ400N23",9541,"POZ/BTB and AT hook containing zinc finger 1","PATZ1"
"PATZ1",9541,"POZ/BTB and AT hook containing zinc finger 1","PATZ1"
"HMG17L1",9546,"high mobility group nucleosomal binding domain 2 pseudogene 9","HMGN2P9"
"HMGN2L9",9546,"high mobility group nucleosomal binding domain 2 pseudogene 9","HMGN2P9"
"dJ388M5",9546,"high mobility group nucleosomal binding domain 2 pseudogene 9","HMGN2P9"
"dJ388M5.2",9546,"high mobility group nucleosomal binding domain 2 pseudogene 9","HMGN2P9"
"HMGN2P9",9546,"high mobility group nucleosomal binding domain 2 pseudogene 9","HMGN2P9"
"HMG17L2",9547,"high mobility group nucleosomal binding domain 2 pseudogene10","HMGN2P10"
"HMGN2L10",9547,"high mobility group nucleosomal binding domain 2 pseudogene10","HMGN2P10"
"bK216E10",9547,"high mobility group nucleosomal binding domain 2 pseudogene10","HMGN2P10"
"HMGN2P10",9547,"high mobility group nucleosomal binding domain 2 pseudogene10","HMGN2P10"
"ARHGAP43",9556,"SH3 domain binding protein 1","SH3BP1"
"SH3BP1",9556,"SH3 domain binding protein 1","SH3BP1"
"DGS-G",9557,"testis specific serine kinase 2","TSSK2"
"SPOGA2",9557,"testis specific serine kinase 2","TSSK2"
"STK22B",9557,"testis specific serine kinase 2","TSSK2"
"TSK2",9557,"testis specific serine kinase 2","TSSK2"
"TSSK2",9557,"testis specific serine kinase 2","TSSK2"
"MM1",9585,"plexin B2","PLXNB2"
"Nbla00445",9585,"plexin B2","PLXNB2"
"PLEXB2",9585,"plexin B2","PLXNB2"
"dJ402G11.3",9585,"plexin B2","PLXNB2"
"PLXNB2",9585,"plexin B2","PLXNB2"
"YME1L2",9622,"YME1L1 pseudogene 1","YME1L1P1"
"YME1L1P1",9622,"YME1L1 pseudogene 1","YME1L1P1"
"TOP3B2",9623,"DNA topoisomerase III beta pseudogene 1","TOP3BP1"
"TOP3BP1",9623,"DNA topoisomerase III beta pseudogene 1","TOP3BP1"
"SPOGA1",9624,"testis specific serine kinase 1A (pseudogene)","TSSK1A"
"STK22A",9624,"testis specific serine kinase 1A (pseudogene)","TSSK1A"
"TSSK1",9624,"testis specific serine kinase 1A (pseudogene)","TSSK1A"
"TSSK1AP",9624,"testis specific serine kinase 1A (pseudogene)","TSSK1A"
"TSSK1b",9624,"testis specific serine kinase 1A (pseudogene)","TSSK1A"
"TSSK7P",9624,"testis specific serine kinase 1A (pseudogene)","TSSK1A"
"TSSK1A",9624,"testis specific serine kinase 1A (pseudogene)","TSSK1A"
"SDF2L1",9625,"stromal cell derived factor 2 like 1","SDF2L1"
"RPL32L2",9626,"ribosomal protein L32 pseudogene 5","RPL32P5"
"RPL32_23_1737",9626,"ribosomal protein L32 pseudogene 5","RPL32P5"
"RPL32P5",9626,"ribosomal protein L32 pseudogene 5","RPL32P5"
"PTPNS1L",9627,"signal regulatory protein alpha pseudogene 1","SIRPAP1"
"SIRPA2P",9627,"signal regulatory protein alpha pseudogene 1","SIRPAP1"
"SIRPAP1",9627,"signal regulatory protein alpha pseudogene 1","SIRPAP1"
"CYC4",9631,"peptidylprolyl isomerase like 2","PPIL2"
"CYP60",9631,"peptidylprolyl isomerase like 2","PPIL2"
"Cyp-60",9631,"peptidylprolyl isomerase like 2","PPIL2"
"UBOX7",9631,"peptidylprolyl isomerase like 2","PPIL2"
"hCyP-60",9631,"peptidylprolyl isomerase like 2","PPIL2"
"PPIL2",9631,"peptidylprolyl isomerase like 2","PPIL2"
"PI-TP-beta",9632,"phosphatidylinositol transfer protein beta","PITPNB"
"PtdInsTP",9632,"phosphatidylinositol transfer protein beta","PITPNB"
"VIB1B",9632,"phosphatidylinositol transfer protein beta","PITPNB"
"PITPNB",9632,"phosphatidylinositol transfer protein beta","PITPNB"
"DJ858B16",9633,"phosphatidylserine decarboxylase","PISD"
"LIBF",9633,"phosphatidylserine decarboxylase","PISD"
"PSD",9633,"phosphatidylserine decarboxylase","PISD"
"PSDC",9633,"phosphatidylserine decarboxylase","PISD"
"PSSC",9633,"phosphatidylserine decarboxylase","PISD"
"dJ858B16.2",9633,"phosphatidylserine decarboxylase","PISD"
"PISD",9633,"phosphatidylserine decarboxylase","PISD"
"HLM",9634,"oxysterol binding protein 2","OSBP2"
"ORP-4",9634,"oxysterol binding protein 2","OSBP2"
"ORP4",9634,"oxysterol binding protein 2","OSBP2"
"OSBPL1",9634,"oxysterol binding protein 2","OSBP2"
"OSBPL4",9634,"oxysterol binding protein 2","OSBP2"
"OSBP2",9634,"oxysterol binding protein 2","OSBP2"
"U-MAF",9635,"MAF bZIP transcription factor F","MAFF"
"hMafF",9635,"MAF bZIP transcription factor F","MAFF"
"MAFF",9635,"MAF bZIP transcription factor F","MAFF"
"CANDF5",9636,"interleukin 17 receptor A","IL17RA"
"CD217",9636,"interleukin 17 receptor A","IL17RA"
"CDw217",9636,"interleukin 17 receptor A","IL17RA"
"IL-17RA",9636,"interleukin 17 receptor A","IL17RA"
"IL17R",9636,"interleukin 17 receptor A","IL17RA"
"IMD51",9636,"interleukin 17 receptor A","IL17RA"
"hIL-17R",9636,"interleukin 17 receptor A","IL17RA"
"IL17RA",9636,"interleukin 17 receptor A","IL17RA"
"CSF2RB2",9643,"CSF2RB pseudogene 1","CSF2RBP1"
"fF45C1.2",9643,"CSF2RB pseudogene 1","CSF2RBP1"
"CSF2RBP1",9643,"CSF2RB pseudogene 1","CSF2RBP1"
"BRL",9644,"bromodomain containing 1","BRD1"
"BRPF1",9644,"bromodomain containing 1","BRD1"
"BRPF2",9644,"bromodomain containing 1","BRD1"
"BRD1",9644,"bromodomain containing 1","BRD1"
"BPGAP1",9645,"Rho GTPase activating protein 8","ARHGAP8"
"PP610",9645,"Rho GTPase activating protein 8","ARHGAP8"
"ARHGAP8",9645,"Rho GTPase activating protein 8","ARHGAP8"
"APOL-II",9646,"apolipoprotein L2","APOL2"
"APOL3",9646,"apolipoprotein L2","APOL2"
"APOL2",9646,"apolipoprotein L2","APOL2"
"ADTB1L2",9647,"AP1B1 pseudogene 2","AP1B1P2"
"dJ127L4.3",9647,"AP1B1 pseudogene 2","AP1B1P2"
"AP1B1P2",9647,"AP1B1 pseudogene 2","AP1B1P2"
"ADTB1L1",9648,"AP1B1 pseudogene 1","AP1B1P1"
"dJ127L4.2",9648,"AP1B1 pseudogene 1","AP1B1P1"
"AP1B1P1",9648,"AP1B1 pseudogene 1","AP1B1P1"
"VWFP1-ANKRD62P1-PARP4P3",9649,"ANKRD62P1-PARP4P3 readthrough, transcribed pseudogene","ANKRD62P1-PARP4P3"
"ANKRD62P1-PARP4P3",9649,"ANKRD62P1-PARP4P3 readthrough, transcribed pseudogene","ANKRD62P1-PARP4P3"
"A26C3",9650,"POTE ankyrin domain family member H","POTEH"
"ACTBL1",9650,"POTE ankyrin domain family member H","POTEH"
"CT104.7",9650,"POTE ankyrin domain family member H","POTEH"
"POTE22",9650,"POTE ankyrin domain family member H","POTEH"
"POTEH",9650,"POTE ankyrin domain family member H","POTEH"
"BCL-RAMBO",9652,"BCL2 like 13","BCL2L13"
"Bcl2-L-13",9652,"BCL2 like 13","BCL2L13"
"MIL1",9652,"BCL2 like 13","BCL2L13"
"BCL2L13",9652,"BCL2 like 13","BCL2L13"
"NTR1",9661,"tuftelin interacting protein 11","TFIP11"
"STIP",9661,"tuftelin interacting protein 11","TFIP11"
"STIP-1",9661,"tuftelin interacting protein 11","TFIP11"
"Spp382",9661,"tuftelin interacting protein 11","TFIP11"
"TIP39",9661,"tuftelin interacting protein 11","TFIP11"
"bK445C9.6",9661,"tuftelin interacting protein 11","TFIP11"
"TFIP11",9661,"tuftelin interacting protein 11","TFIP11"
"HS747E2A",9674,"chromosome 22 open reading frame 31","C22orf31"
"bK747E2.1",9674,"chromosome 22 open reading frame 31","C22orf31"
"C22orf31",9674,"chromosome 22 open reading frame 31","C22orf31"
"C22orf4",9675,"TBC1 domain family member 22A","TBC1D22A"
"HSC79E021",9675,"TBC1 domain family member 22A","TBC1D22A"
"TBC1D22A",9675,"TBC1 domain family member 22A","TBC1D22A"
"C22orf24",9677,"YWHAH antisense RNA 1","YWHAH-AS1"
"HSN44A4A",9677,"YWHAH antisense RNA 1","YWHAH-AS1"
"YWHAH-AS1",9677,"YWHAH antisense RNA 1","YWHAH-AS1"
"C22orf2",9678,"chibby family member 1, beta catenin antagonist","CBY1"
"CBY",9678,"chibby family member 1, beta catenin antagonist","CBY1"
"Chibby1",9678,"chibby family member 1, beta catenin antagonist","CBY1"
"HS508I15A",9678,"chibby family member 1, beta catenin antagonist","CBY1"
"PGEA1",9678,"chibby family member 1, beta catenin antagonist","CBY1"
"PIGEA-14",9678,"chibby family member 1, beta catenin antagonist","CBY1"
"PIGEA14",9678,"chibby family member 1, beta catenin antagonist","CBY1"
"arb1",9678,"chibby family member 1, beta catenin antagonist","CBY1"
"CBY1",9678,"chibby family member 1, beta catenin antagonist","CBY1"
"UNC84B",9679,"Sad1 and UNC84 domain containing 2","SUN2"
"rab5IP",9679,"Sad1 and UNC84 domain containing 2","SUN2"
"SUN2",9679,"Sad1 and UNC84 domain containing 2","SUN2"
"DGS-E",9683,"DiGeorge syndrome critical region gene 12","DGCR12"
"DGCR12",9683,"DiGeorge syndrome critical region gene 12","DGCR12"
"DGS-D",9684,"DiGeorge syndrome critical region gene 11","DGCR11"
"DGCR11",9684,"DiGeorge syndrome critical region gene 11","DGCR11"
"FBX",9690,"F-box protein 7","FBXO7"
"FBX07",9690,"F-box protein 7","FBXO7"
"FBX7",9690,"F-box protein 7","FBXO7"
"PARK15",9690,"F-box protein 7","FBXO7"
"PKPS",9690,"F-box protein 7","FBXO7"
"FBXO7",9690,"F-box protein 7","FBXO7"
"C22orf3",9703,"rhomboid domain containing 3","RHBDD3"
"HS984G1A",9703,"rhomboid domain containing 3","RHBDD3"
"PTAG",9703,"rhomboid domain containing 3","RHBDD3"
"RHBDD3",9703,"rhomboid domain containing 3","RHBDD3"
"C22orf7",9704,"tubulin tyrosine ligase like 1","TTLL1"
"HS323M22B",9704,"tubulin tyrosine ligase like 1","TTLL1"
"TTLL1",9704,"tubulin tyrosine ligase like 1","TTLL1"
"POM121L1",9705,"POM121 transmembrane nucleoporin like 1, pseudogene","POM121L1P"
"POM121L1P",9705,"POM121 transmembrane nucleoporin like 1, pseudogene","POM121L1P"
"CGI-51",9706,"SAMM50 sorting and assembly machinery component","SAMM50"
"OMP85",9706,"SAMM50 sorting and assembly machinery component","SAMM50"
"SAM50",9706,"SAMM50 sorting and assembly machinery component","SAMM50"
"TOB55",9706,"SAMM50 sorting and assembly machinery component","SAMM50"
"TRG-3",9706,"SAMM50 sorting and assembly machinery component","SAMM50"
"YNL026W",9706,"SAMM50 sorting and assembly machinery component","SAMM50"
"SAMM50",9706,"SAMM50 sorting and assembly machinery component","SAMM50"
"E46L",9707,"ataxin 10","ATXN10"
"HUMEEP",9707,"ataxin 10","ATXN10"
"SCA10",9707,"ataxin 10","ATXN10"
"ATXN10",9707,"ataxin 10","ATXN10"
"COXPD29",9720,"thioredoxin 2","TXN2"
"MT-TRX",9720,"thioredoxin 2","TXN2"
"MTRX",9720,"thioredoxin 2","TXN2"
"TRX2",9720,"thioredoxin 2","TXN2"
"TXN",9720,"thioredoxin 2","TXN2"
"TXN2",9720,"thioredoxin 2","TXN2"
"C22orf5",9721,"transmembrane protein 184B","TMEM184B"
"FM08",9721,"transmembrane protein 184B","TMEM184B"
"HS5O6A",9721,"transmembrane protein 184B","TMEM184B"
"HSPC256",9721,"transmembrane protein 184B","TMEM184B"
"TMEM184B",9721,"transmembrane protein 184B","TMEM184B"
"BR-STL-1",9722,"sulfotransferase family 4A member 1","SULT4A1"
"BRSTL1",9722,"sulfotransferase family 4A member 1","SULT4A1"
"DJ388M5.3",9722,"sulfotransferase family 4A member 1","SULT4A1"
"NST",9722,"sulfotransferase family 4A member 1","SULT4A1"
"SULTX3",9722,"sulfotransferase family 4A member 1","SULT4A1"
"hBR-STL-1",9722,"sulfotransferase family 4A member 1","SULT4A1"
"SULT4A1",9722,"sulfotransferase family 4A member 1","SULT4A1"
"Epoc-1",9725,"POU class 2 homeobox 3","POU2F3"
"OCT-11",9725,"POU class 2 homeobox 3","POU2F3"
"OCT11",9725,"POU class 2 homeobox 3","POU2F3"
"OTF-11",9725,"POU class 2 homeobox 3","POU2F3"
"PLA-1",9725,"POU class 2 homeobox 3","POU2F3"
"PLA1",9725,"POU class 2 homeobox 3","POU2F3"
"Skn-1a",9725,"POU class 2 homeobox 3","POU2F3"
"POU2F3",9725,"POU class 2 homeobox 3","POU2F3"
"L36",9752,"ribosomal protein L36","RPL36"
